CATEGORIE,EPREUVE,PERFORMANCE,POINTS,UNITE
EAF,vitesse,5.5,40,s
EAF,vitesse,5.7,38,s
EAF,vitesse,5.9,36,s
EAF,vitesse,6.1,34,s
EAF,vitesse,6.3,32,s
EAF,vitesse,6.55,30,s
EAF,vitesse,6.8,28,s
EAF,vitesse,7.15,26,s
EAF,vitesse,7.5,24,s
EAF,vitesse,7.8,22,s
EAF,vitesse,8.1,20,s
EAF,vitesse,8.55,18,s
EAF,vitesse,9,16,s
EAF,vitesse,9.5,14,s
EAF,vitesse,10,12,s
EAF,vitesse,10.5,10,s
EAF,vitesse,11,8,s
EAF,vitesse,11.5,6,s
EAF,vitesse,12,4,s
EAF,vitesse,12.5,2,s
EAF,haies,6.5,60,s
EAF,haies,6.75,57,s
EAF,haies,7,54,s
EAF,haies,7.25,51,s
EAF,haies,7.5,48,s
EAF,haies,7.75,45,s
EAF,haies,8,42,s
EAF,haies,8.35,39,s
EAF,haies,8.7,36,s
EAF,haies,9.1,33,s
EAF,haies,9.5,30,s
EAF,haies,10,27,s
EAF,haies,10.5,24,s
EAF,haies,10.8,21,s
EAF,haies,11.1,18,s
EAF,haies,11.5,15,s
EAF,haies,11.9,12,s
EAF,haies,12.3,9,s
EAF,haies,12.7,6,s
EAF,haies,13.2,3,s
EAF,lancé,7.6,50,m
EAF,lancé,7.1,47.5,m
EAF,lancé,6.6,45,m
EAF,lancé,6.3,42.5,m
EAF,lancé,6,40,m
EAF,lancé,5.55,37.5,m
EAF,lancé,5.1,35,m
EAF,lancé,4.7,32.5,m
EAF,lancé,4.3,30,m
EAF,lancé,3.75,27.5,m
EAF,lancé,3.2,25,m
EAF,lancé,2.9,22.5,m
EAF,lancé,2.6,20,m
EAF,lancé,2.3,17.5,m
EAF,lancé,2,15,m
EAF,lancé,1.8,12.5,m
EAF,lancé,1.6,10,m
EAF,lancé,1.4,7.5,m
EAF,lancé,1.2,5,m
EAF,lancé,1,2.5,m
EAF,pentabond,8.8,50,m
EAF,pentabond,8.4,47.5,m
EAF,pentabond,8,45,m
EAF,pentabond,7.65,42.5,m
EAF,pentabond,7.3,40,m
EAF,pentabond,7,37.5,m
EAF,pentabond,6.7,35,m
EAF,pentabond,6.25,32.5,m
EAF,pentabond,5.8,30,m
EAF,pentabond,5.5,27.5,m
EAF,pentabond,5.2,25,m
EAF,pentabond,4.9,22.5,m
EAF,pentabond,4.6,20,m
EAF,pentabond,4.3,17.5,m
EAF,pentabond,4,15,m
EAF,pentabond,3.7,12.5,m
EAF,pentabond,3.4,10,m
EAF,pentabond,3.1,7.5,m
EAF,pentabond,2.8,5,m
EAF,pentabond,2.5,2.5,m
EAM,vitesse,5.3,40,s
EAM,vitesse,5.45,38,s
EAM,vitesse,5.6,36,s
EAM,vitesse,5.85,34,s
EAM,vitesse,6.1,32,s
